|Grain|Grain Mill Products|Farm Products (excl. Grain)|Food Products|Chemicals|Petroleum & Petroleum Products|Primary Metal Products|Primary Forest Products|Lumber & Wood Products|Pulp & Paper Products|Non-Metallic Minerals (incl. Phosphates)|Crushed Stone, Sand & Gravel|Stone, Clay & Glass Products|Iron & Steel Scrap|Waste & Nonferrous Scrap|Motor Vehicles and Parts|Metallic Ores|Coal|Coke|All Other Carloads|Total Carloads|Trailers|Containers|Total Intermodal|Total Traffic|Non‐Metallic Minerals (incl. Phosphates)|Primary Forest Products*|Farm Products, Ex. Grain|Food & Kindred Products|Petroleum Products|Metals & Products|Pulp, Paper & Allied Products|Phosphate (Phospate Rock)|Automotive (Motor Vehicles & Equip.)|Military, Machinery & Transportation Equipment
Week 7 2020|2430.0|2116.0|175.0|1953.0|9837.0|3557.0|2554.0|613.0|970.0|2748.0|2317.0|4569.0|2125.0|1485.0|2405.0|9412.0|634.0|11902.0|1259.0|1383.0|64444.0|1612.0|49867.0|51479.0|115923.0||||||||||
Week 7 2019|3316.0|2231.0|237.0|1830.0|9702.0|3231.0|2542.0|698.0|1136.0|3035.0|2946.0|4217.0|2513.0|1355.0|2507.0|9206.0|723.0|14955.0|929.0|1039.0|68348.0|2257.0|52228.0|54485.0|122833.0||||||||||
Week 7 pct-change|26.7|5.2|26.2|6.7|1.4|10.1|0.5|12.2|14.6|9.5|21.4|8.3|15.4|9.6|4.1|2.2|12.3|20.4|35.5|33.1|5.7|28.6|4.5|5.5|5.6||||||||||
Week 7 2020 QTD|21697.0|14639.0|1374.0|14125.0|68808.0|24939.0|17681.0|4346.0|7524.0|21781.0|17943.0|30385.0|15094.0|9144.0|16842.0|52372.0|4895.0|92763.0|9123.0|7989.0|453464.0|12738.0|336508.0|349246.0|802710.0||||||||||
Week 7 2019 QTD|21322.0|14195.0|1683.0|13274.0|66923.0|23256.0|18884.0|4081.0|7739.0|21308.0|20794.0|26962.0|15874.0|8677.0|18081.0|57440.0|4932.0|106009.0|7810.0|7199.0|466443.0|15368.0|333496.0|348864.0|815307.0||||||||||
Week 7 QTD pct-change|1.8|3.1|18.4|6.4|2.8|7.2|6.4|6.5|2.8|2.2|13.7|12.7|4.9|5.4|6.9|8.8|0.8|12.5|16.8|11.0|2.8|17.1|0.9|0.1|1.5||||||||||
Week 7 2020 YTD|21697.0|14639.0|1374.0|14125.0|68808.0|24939.0|17681.0|4346.0|7524.0|21781.0|17943.0|30385.0|15094.0|9144.0|16842.0|52372.0|4895.0|92763.0|9123.0|7989.0|453464.0|12738.0|336508.0|349246.0|802710.0||||||||||
Week 7 2019 YTD|21322.0|14195.0|1683.0|13274.0|66923.0|23256.0|18884.0|4081.0|7739.0|21308.0|20794.0|26962.0|15874.0|8677.0|18081.0|57440.0|4932.0|106009.0|7810.0|7199.0|466443.0|15368.0|333496.0|348864.0|815307.0||||||||||
Week 7 YTD pct-change|1.8|3.1|18.4|6.4|2.8|7.2|6.4|6.5|2.8|2.2|13.7|12.7|4.9|5.4|6.9|8.8|0.8|12.5|16.8|11.0|2.8|17.1|0.9|0.1|1.5||||||||||
Week 6 2020|3366.0|2138.0|235.0|2145.0|10104.0|3724.0|2523.0|597.0|1188.0|2897.0|2196.0|4562.0|2371.0|1264.0|2424.0|8525.0|646.0|11964.0|1402.0|1422.0|65693.0|1668.0|50125.0|51793.0|117486.0||||||||||
Week 6 2019|3493.0|2145.0|235.0|1955.0|9917.0|3595.0|2743.0|579.0|1314.0|2954.0|3188.0|4155.0|2506.0|1205.0|2558.0|9442.0|742.0|15201.0|982.0|1002.0|69911.0|2108.0|50384.0|52492.0|122403.0||||||||||
Week 6 pct-change|3.6|0.3|0.0|9.7|1.9|3.6|8.0|3.1|9.6|1.9|31.1|9.8|5.4|4.9|5.2|9.7|12.9|21.3|42.8|41.9|6.0|20.9|0.5|1.3|4.0||||||||||
Week 6 2020 QTD|19267.0|12523.0|1199.0|12172.0|58971.0|21382.0|15127.0|3733.0|6554.0|19033.0|15626.0|25816.0|12969.0|7659.0|14437.0|42960.0|4261.0|80861.0|7864.0|6606.0|389020.0|11126.0|286641.0|297767.0|686787.0||||||||||
Week 6 2019 QTD|18006.0|11964.0|1446.0|11444.0|57221.0|20025.0|16342.0|3383.0|6603.0|18273.0|17848.0|22745.0|13361.0|7322.0|15574.0|48234.0|4209.0|91054.0|6881.0|6160.0|398095.0|13111.0|281268.0|294379.0|692474.0||||||||||
Week 6 QTD pct-change|7.0|4.7|17.1|6.4|3.1|6.8|7.4|10.3|0.7|4.2|12.4|13.5|2.9|4.6|7.3|10.9|1.2|11.2|14.3|7.2|2.3|15.1|1.9|1.2|0.8||||||||||
Week 6 2020 YTD|19267.0|12523.0|1199.0|12172.0|58971.0|21382.0|15127.0|3733.0|6554.0|19033.0|15626.0|25816.0|12969.0|7659.0|14437.0|42960.0|4261.0|80861.0|7864.0|6606.0|389020.0|11126.0|286641.0|297767.0|686787.0||||||||||
Week 6 2019 YTD|18006.0|11964.0|1446.0|11444.0|57221.0|20025.0|16342.0|3383.0|6603.0|18273.0|17848.0|22745.0|13361.0|7322.0|15574.0|48234.0|4209.0|91054.0|6881.0|6160.0|398095.0|13111.0|281268.0|294379.0|692474.0||||||||||
Week 6 YTD pct-change|7.0|4.7|17.1|6.4|3.1|6.8|7.4|10.3|0.7|4.2|12.4|13.5|2.9|4.6|7.3|10.9|1.2|11.2|14.3|7.2|2.3|15.1|1.9|1.2|0.8||||||||||
Week 5 2020|3443.0|2255.0|202.0|2191.0|9634.0|3886.0|2828.0|649.0|1321.0|3305.0|2584.0|4413.0|2203.0|1522.0|2400.0|8491.0|656.0|13315.0|1397.0|1466.0|68161.0|1800.0|53215.0|55015.0|123176.0||||||||||
Week 5 2019|2603.0|1723.0|205.0|1827.0|8744.0|2965.0|2345.0|652.0|1174.0|2929.0|3221.0|3674.0|2134.0|1212.0|2604.0|8382.0|535.0|14563.0|879.0|905.0|63276.0|2143.0|44797.0|46940.0|110216.0||||||||||
Week 5 pct-change|32.3|30.9|1.5|19.9|10.2|31.1|20.6|0.5|12.5|12.8|19.8|20.1|3.2|25.6|7.8|1.3|22.6|8.6|58.9|62.0|7.7|16.0|18.8|17.2|11.8||||||||||
Week 5 2020 QTD|15901.0|10385.0|964.0|10027.0|48867.0|17658.0|12604.0|3136.0|5366.0|16136.0|13430.0|21254.0|10598.0|6395.0|12013.0|34435.0|3615.0|68897.0|6462.0|5184.0|323327.0|9458.0|236516.0|245974.0|569301.0||||||||||
Week 5 2019 QTD|14513.0|9819.0|1211.0|9489.0|47304.0|16430.0|13599.0|2804.0|5289.0|15319.0|14660.0|18590.0|10855.0|6117.0|13016.0|38792.0|3467.0|75853.0|5899.0|5158.0|328184.0|11003.0|230884.0|241887.0|570071.0||||||||||
Week 5 QTD pct-change|9.6|5.8|20.4|5.7|3.3|7.5|7.3|11.8|1.5|5.3|8.4|14.3|2.4|4.5|7.7|11.2|4.3|9.2|9.5|0.5|1.5|14.0|2.4|1.7|0.1||||||||||
Week 5 2020 YTD|15901.0|10385.0|964.0|10027.0|48867.0|17658.0|12604.0|3136.0|5366.0|16136.0|13430.0|21254.0|10598.0|6395.0|12013.0|34435.0|3615.0|68897.0|6462.0|5184.0|323327.0|9458.0|236516.0|245974.0|569301.0||||||||||
Week 5 2019 YTD|14513.0|9819.0|1211.0|9489.0|47304.0|16430.0|13599.0|2804.0|5289.0|15319.0|14660.0|18590.0|10855.0|6117.0|13016.0|38792.0|3467.0|75853.0|5899.0|5158.0|328184.0|11003.0|230884.0|241887.0|570071.0||||||||||
Week 5 YTD pct-change|9.6|5.8|20.4|5.7|3.3|7.5|7.3|11.8|1.5|5.3|8.4|14.3|2.4|4.5|7.7|11.2|4.3|9.2|9.5|0.5|1.5|14.0|2.4|1.7|0.1||||||||||
Week 4 2020|3026.0|2047.0|217.0|2014.0|9499.0|3112.0|2656.0|512.0|1091.0|2997.0|2671.0|4237.0|2073.0|1357.0|2463.0|7898.0|823.0|13617.0|1148.0|827.0|64285.0|1858.0|48672.0|50530.0|114815.0||||||||||
Week 4 2019|2561.0|2038.0|286.0|1887.0|8883.0|3286.0|2699.0|578.0|1160.0|2912.0|2992.0|3836.0|2127.0|1271.0|2373.0|8237.0|568.0|14726.0|1103.0|1041.0|64564.0|2032.0|46649.0|48681.0|113245.0||||||||||
Week 4 pct-change|18.2|0.4|24.1|6.7|6.9|5.3|1.6|11.4|5.9|2.9|10.7|10.5|2.5|6.8|3.8|4.1|44.9|7.5|4.1|20.6|0.4|8.6|4.3|3.8|1.4||||||||||
Week 4 2020 QTD|12458.0|8130.0|762.0|7836.0|39233.0|13772.0|9776.0|2487.0|4045.0|12831.0|10846.0|16841.0|8395.0|4873.0|9613.0|25944.0|2959.0|55582.0|5065.0|3718.0|255166.0|7658.0|183301.0|190959.0|446125.0||||||||||
Week 4 2019 QTD|11910.0|8096.0|1006.0|7662.0|38560.0|13465.0|11254.0|2152.0|4115.0|12390.0|11439.0|14916.0|8721.0|4905.0|10412.0|30410.0|2932.0|61290.0|5020.0|4253.0|264908.0|8860.0|186087.0|194947.0|459855.0||||||||||
Week 4 QTD pct-change|4.6|0.4|24.3|2.3|1.7|2.3|13.1|15.6|1.7|3.6|5.2|12.9|3.7|0.7|7.7|14.7|0.9|9.3|0.9|12.6|3.7|13.6|1.5|2.0|3.0||||||||||
Week 4 2020 YTD|12458.0|8130.0|762.0|7836.0|39233.0|13772.0|9776.0|2487.0|4045.0|12831.0|10846.0|16841.0|8395.0|4873.0|9613.0|25944.0|2959.0|55582.0|5065.0|3718.0|255166.0|7658.0|183301.0|190959.0|446125.0||||||||||
Week 4 2019 YTD|11910.0|8096.0|1006.0|7662.0|38560.0|13465.0|11254.0|2152.0|4115.0|12390.0|11439.0|14916.0|8721.0|4905.0|10412.0|30410.0|2932.0|61290.0|5020.0|4253.0|264908.0|8860.0|186087.0|194947.0|459855.0||||||||||
Week 4 YTD pct-change|4.6|0.4|24.3|2.3|1.7|2.3|13.1|15.6|1.7|3.6|5.2|12.9|3.7|0.7|7.7|14.7|0.9|9.3|0.9|12.6|3.7|13.6|1.5|2.0|3.0||||||||||
Week 3 2020|3195.0|1981.0|234.0|2302.0|9558.0|3243.0|2349.0|742.0|1103.0|3015.0|2821.0|4527.0|2224.0|1478.0|2570.0|8228.0|640.0|14442.0|1456.0|1286.0|67394.0|1761.0|49364.0|51125.0|118519.0||||||||||
Week 3 2019|3152.0|2021.0|279.0|1958.0|9474.0|3258.0|2830.0|630.0|1075.0|2863.0|2777.0|3793.0|2369.0|1368.0|2677.0|8838.0|843.0|16301.0|1278.0|1107.0|68891.0|2441.0|51878.0|54319.0|123210.0||||||||||
Week 3 pct-change|1.4|2.0|16.1|17.6|0.9|0.5|17.0|17.8|2.6|5.3|1.6|19.4|6.1|8.0|4.0|6.9|24.1|11.4|13.9|16.2|2.2|27.9|4.8|5.9|3.8||||||||||
Week 3 2020 QTD|9432.0|6083.0|545.0|5822.0|29734.0|10660.0|7120.0|1975.0|2954.0|9834.0|8175.0|12604.0|6322.0|3516.0|7150.0|18046.0|2136.0|41965.0|3917.0|2891.0|190881.0|5800.0|134629.0|140429.0|331310.0||||||||||
Week 3 2019 QTD|9349.0|6058.0|720.0|5775.0|29677.0|10179.0|8555.0|1574.0|2955.0|9478.0|8447.0|11080.0|6594.0|3634.0|8039.0|22173.0|2364.0|46564.0|3917.0|3212.0|200344.0|6828.0|139438.0|146266.0|346610.0||||||||||
Week 3 QTD pct-change|0.9|0.4|24.3|0.8|0.2|4.7|16.8|25.5|0.0|3.8|3.2|13.8|4.1|3.2|11.1|18.6|9.6|9.9|0.0|10.0|4.7|15.1|3.4|4.0|4.4||||||||||
Week 3 2020 YTD|9432.0|6083.0|545.0|5822.0|29734.0|10660.0|7120.0|1975.0|2954.0|9834.0|8175.0|12604.0|6322.0|3516.0|7150.0|18046.0|2136.0|41965.0|3917.0|2891.0|190881.0|5800.0|134629.0|140429.0|331310.0||||||||||
Week 3 2019 YTD|9349.0|6058.0|720.0|5775.0|29677.0|10179.0|8555.0|1574.0|2955.0|9478.0|8447.0|11080.0|6594.0|3634.0|8039.0|22173.0|2364.0|46564.0|3917.0|3212.0|200344.0|6828.0|139438.0|146266.0|346610.0||||||||||
Week 3 YTD pct-change|0.9|0.4|24.3|0.8|0.2|4.7|16.8|25.5|0.0|3.8|3.2|13.8|4.1|3.2|11.1|18.6|9.6|9.9|0.0|10.0|4.7|15.1|3.4|4.0|4.4||||||||||
Week 2 2020|3375.0|2057.0|172.0|1754.0|10163.0|3871.0|2391.0|759.0|935.0|3263.0|3106.0|4363.0|2239.0|1253.0|2616.0|6615.0|748.0|14184.0|1273.0|1054.0|66191.0|2071.0|47975.0|50046.0|116237.0||||||||||
Week 2 2019|3513.0|1972.0|230.0|2023.0|10889.0|3724.0|2943.0|534.0|946.0|3068.0|3025.0|4181.0|2312.0|1318.0|2974.0|8071.0|758.0|16385.0|1362.0|1091.0|71319.0|2528.0|50599.0|53127.0|124446.0||||||||||
Week 2 pct-change|3.9|4.3|25.2|13.3|6.7|3.9|18.8|42.1|1.2|6.4|2.7|4.4|3.2|4.9|12.0|18.0|1.3|13.4|6.5|3.4|7.2|18.1|5.2|5.8|6.6||||||||||
Week 2 2020 QTD|6237.0|4102.0|311.0|3520.0|20176.0|7417.0|4771.0|1233.0|1851.0|6819.0|5354.0|8077.0|4098.0|2038.0|4580.0|9818.0|1496.0|27523.0|2461.0|1605.0|123487.0|4039.0|85265.0|89304.0|212791.0||||||||||
Week 2 2019 QTD|6197.0|4037.0|441.0|3817.0|20203.0|6921.0|5725.0|944.0|1880.0|6615.0|5670.0|7287.0|4225.0|2266.0|5362.0|13335.0|1521.0|30263.0|2639.0|2105.0|131453.0|4387.0|87560.0|91947.0|223400.0||||||||||
Week 2 QTD pct-change|0.6|1.6|29.5|7.8|0.1|7.2|16.7|30.6|1.5|3.1|5.6|10.8|3.0|10.1|14.6|26.4|1.6|9.1|6.7|23.8|6.1|7.9|2.6|2.9|4.7||||||||||
Week 2 2020 YTD|6237.0|4102.0|311.0|3520.0|20176.0|7417.0|4771.0|1233.0|1851.0|6819.0|5354.0|8077.0|4098.0|2038.0|4580.0|9818.0|1496.0|27523.0|2461.0|1605.0|123487.0|4039.0|85265.0|89304.0|212791.0||||||||||
Week 2 2019 YTD|6197.0|4037.0|441.0|3817.0|20203.0|6921.0|5725.0|944.0|1880.0|6615.0|5670.0|7287.0|4225.0|2266.0|5362.0|13335.0|1521.0|30263.0|2639.0|2105.0|131453.0|4387.0|87560.0|91947.0|223400.0||||||||||
Week 2 YTD pct-change|0.6|1.6|29.5|7.8|0.1|7.2|16.7|30.6|1.5|3.1|5.6|10.8|3.0|10.1|14.6|26.4|1.6|9.1|6.7|23.8|6.1|7.9|2.6|2.9|4.7||||||||||
Week 1 2020|2862.0|2045.0|139.0|1766.0|10013.0|3546.0|2380.0|474.0|916.0|3556.0|2248.0|3714.0|1859.0|785.0|1964.0|3203.0|748.0|13339.0|1188.0|551.0|57296.0|1968.0|37290.0|39258.0|96554.0||||||||||
Week 1 2019|2684.0|2065.0|211.0|1794.0|9314.0|3197.0|2782.0|410.0|934.0|3547.0|2645.0|3106.0|1913.0|948.0|2388.0|5264.0|763.0|13878.0|1277.0|1014.0|60134.0|1859.0|36961.0|38820.0|98954.0||||||||||
Week 1 pct-change|6.6|1.0|34.1|1.6|7.5|10.9|14.5|15.6|1.9|0.3|15.0|19.6|2.8|17.2|17.8|39.2|2.0|3.9|7.0|45.7|4.7|5.9|0.9|1.1|2.4||||||||||
Week 1 2020 QTD|2862.0|2045.0|139.0|1766.0|10013.0|3546.0|2380.0|474.0|916.0|3556.0|2248.0|3714.0|1859.0|785.0|1964.0|3203.0|748.0|13339.0|1188.0|551.0|57296.0|1968.0|37290.0|39258.0|96554.0||||||||||
Week 1 2019 QTD|2684.0|2065.0|211.0|1794.0|9314.0|3197.0|2782.0|410.0|934.0|3547.0|2645.0|3106.0|1913.0|948.0|2388.0|5264.0|763.0|13878.0|1277.0|1014.0|60134.0|1859.0|36961.0|38820.0|98954.0||||||||||
Week 1 QTD pct-change|6.6|1.0|34.1|1.6|7.5|10.9|14.5|15.6|1.9|0.3|15.0|19.6|2.8|17.2|17.8|39.2|2.0|3.9|7.0|45.7|4.7|5.9|0.9|1.1|2.4||||||||||
Week 1 2020 YTD|2862.0|2045.0|139.0|1766.0|10013.0|3546.0|2380.0|474.0|916.0|3556.0|2248.0|3714.0|1859.0|785.0|1964.0|3203.0|748.0|13339.0|1188.0|551.0|57296.0|1968.0|37290.0|39258.0|96554.0||||||||||
Week 1 2019 YTD|2684.0|2065.0|211.0|1794.0|9314.0|3197.0|2782.0|410.0|934.0|3547.0|2645.0|3106.0|1913.0|948.0|2388.0|5264.0|763.0|13878.0|1277.0|1014.0|60134.0|1859.0|36961.0|38820.0|98954.0||||||||||
Week 1 YTD pct-change|6.6|1.0|34.1|1.6|7.5|10.9|14.5|15.6|1.9|0.3|15.0|19.6|2.8|17.2|17.8|39.2|2.0|3.9|7.0|45.7|4.7|5.9|0.9|1.1|2.4||||||||||
Week 52 2019|1909.0|2114.0|192.0|1742.0|8694.0|3322.0|2240.0|541.0|967.0|3191.0|1945.0|2865.0|1648.0|728.0|1868.0|5779.0|858.0|9557.0|1294.0|539.0|51993.0|1767.0|36983.0|38750.0|90743.0||||||||||
Week 52 2018|2711.0|1931.0|250.0|1903.0|9060.0|3486.0|2500.0|404.0|896.0|3303.0|2453.0|2350.0|1727.0|1028.0|2145.0|6137.0|816.0|10648.0|1247.0|550.0|55545.0|1808.0|39113.0|40921.0|96466.0||||||||||
Week 52 pct-change|29.6|9.5|23.2|8.5|4.0|4.7|10.4|33.9|7.9|3.4|20.7|21.9|4.6|29.2|12.9|5.8|5.1|10.2|3.8|2.0|6.4|2.3|5.4|5.3|5.9||||||||||
Week 52 2019 QTD|39204.0|26497.0|2466.0|27443.0|123564.0|40575.0|28889.0|7986.0|14540.0|38238.0|35458.0|66863.0|31549.0|14525.0|31223.0|111272.0|10842.0|175540.0|13581.0|14399.0|854654.0|25876.0|650467.0|676343.0|1530997.0||||||||||
Week 52 2018 QTD|38121.0|27096.0|3266.0|27272.0|122572.0|43034.0|34422.0|7560.0|14677.0|39298.0|36479.0|60219.0|31359.0|17266.0|36907.0|122288.0|10279.0|213539.0|12049.0|13493.0|911196.0|32677.0|694169.0|726846.0|1638042.0||||||||||
Week 52 QTD pct-change|2.8|2.2|24.5|0.6|0.8|5.7|16.1|5.6|0.9|2.7|2.8|11.0|0.6|15.9|15.4|9.0|5.5|17.8|12.7|6.7|6.2|20.8|6.3|6.9|6.5||||||||||
Week 52 2019 YTD|159669.0|108959.0|9514.0|110342.0|502768.0|162211.0|129615.0|31248.0|63871.0|153405.0|144552.0|258761.0|132884.0|63364.0|131530.0|457355.0|40606.0|783777.0|54220.0|60602.0|3559253.0|99472.0|2556618.0|2656090.0|6215343.0||||||||||
Week 52 2018 YTD|147518.0|104392.0|11861.0|110645.0|509181.0|157757.0|144645.0|27753.0|62364.0|153546.0|140935.0|248088.0|126928.0|67382.0|138561.0|464589.0|39566.0|832801.0|49963.0|62302.0|3600777.0|114986.0|2763598.0|2878584.0|6479361.0||||||||||
Week 52 YTD pct-change|8.2|4.4|19.8|0.3|1.3|2.8|10.4|12.6|2.4|0.1|2.6|4.3|4.7|6.0|5.1|1.6|2.6|5.9|8.5|2.7|1.2|13.5|7.5|7.7|4.1||||||||||
Week 51 2019|3544.0|1830.0|215.0|1998.0|9576.0|3134.0|2631.0|629.0|1112.0|3047.0|2789.0|4951.0|2275.0|1311.0|2470.0|9507.0|725.0|13418.0|1139.0|1101.0|67402.0|2735.0|51770.0|54505.0|121907.0||||||||||
Week 51 2018|3084.0|2082.0|316.0|2028.0|9678.0|3239.0|3024.0|575.0|1172.0|3097.0|2697.0|4326.0|2392.0|1426.0|2888.0|9496.0|720.0|17563.0|1224.0|1002.0|72029.0|2950.0|55563.0|58513.0|130542.0||||||||||
Week 51 pct-change|14.9|12.1|32.0|1.5|1.1|3.2|13.0|9.4|5.1|1.6|3.4|14.4|4.9|8.1|14.5|0.1|0.7|23.6|6.9|9.9|6.4|7.3|6.8|6.8|6.6||||||||||
Week 51 2019 QTD|37295.0|24383.0|2274.0|25701.0|114870.0|37253.0|26649.0|7445.0|13573.0|35047.0|33513.0|63998.0|29901.0|13797.0|29355.0|105493.0|9984.0|165983.0|12287.0|13860.0|802661.0|24109.0|613484.0|637593.0|1440254.0||||||||||
Week 51 2018 QTD|35410.0|25165.0|3016.0|25369.0|113512.0|39548.0|31922.0|7156.0|13781.0|35995.0|34026.0|57869.0|29632.0|16238.0|34762.0|116151.0|9463.0|202891.0|10802.0|12943.0|855651.0|30869.0|655056.0|685925.0|1541576.0||||||||||
Week 51 QTD pct-change|5.3|3.1|24.6|1.3|1.2|5.8|16.5|4.0|1.5|2.6|1.5|10.6|0.9|15.0|15.6|9.2|5.5|18.2|13.7|7.1|6.2|21.9|6.3|7.0|6.6||||||||||
Week 51 2019 YTD|157760.0|106845.0|9322.0|108600.0|494074.0|158889.0|127375.0|30707.0|62904.0|150214.0|142607.0|255896.0|131236.0|62636.0|129662.0|451576.0|39748.0|774220.0|52926.0|60063.0|3507260.0|97705.0|2519635.0|2617340.0|6124600.0||||||||||
Week 51 2018 YTD|144807.0|102461.0|11611.0|108742.0|500121.0|154271.0|142145.0|27349.0|61468.0|150243.0|138482.0|245738.0|125201.0|66354.0|136416.0|458452.0|38750.0|822153.0|48716.0|61752.0|3545232.0|113178.0|2724485.0|2837663.0|6382895.0||||||||||
Week 51 YTD pct-change|8.9|4.3|19.7|0.1|1.2|3.0|10.4|12.3|2.3|0.0|3.0|4.1|4.8|5.6|5.0|1.5|2.6|5.8|8.6|2.7|1.1|13.7|7.5|7.8|4.0||||||||||
Week 50 2019|3196.0|2050.0|233.0|1813.0|9271.0|3268.0|2691.0|668.0|982.0|3040.0|2905.0|4944.0|2411.0|1334.0|2528.0|9609.0|874.0|14233.0|1352.0|1022.0|68424.0|3050.0|52802.0|55852.0|124276.0||||||||||
Week 50 2018|2719.0|1986.0|316.0|2236.0|9381.0|3951.0|2719.0|576.0|1113.0|2954.0|2975.0|4186.0|2446.0|1440.0|2765.0|10449.0|839.0|18114.0|1173.0|979.0|73317.0|3395.0|55519.0|58914.0|132231.0||||||||||
Week 50 pct-change|17.5|3.2|26.3|18.9|1.2|17.3|1.0|16.0|11.8|2.9|2.4|18.1|1.4|7.4|8.6|8.0|4.2|21.4|15.3|4.4|6.7|10.2|4.9|5.2|6.0||||||||||
Week 50 2019 QTD|33751.0|22553.0|2059.0|23703.0|105294.0|34119.0|24018.0|6816.0|12461.0|32000.0|30724.0|59047.0|27626.0|12486.0|26885.0|95986.0|9259.0|152565.0|11148.0|12759.0|735259.0|21374.0|561714.0|583088.0|1318347.0||||||||||
Week 50 2018 QTD|32326.0|23083.0|2700.0|23341.0|103834.0|36309.0|28898.0|6581.0|12609.0|32898.0|31329.0|53543.0|27240.0|14812.0|31874.0|106655.0|8743.0|185328.0|9578.0|11941.0|783622.0|27919.0|599493.0|627412.0|1411034.0||||||||||
Week 50 QTD pct-change|4.4|2.3|23.7|1.6|1.4|6.0|16.9|3.6|1.2|2.7|1.9|10.3|1.4|15.7|15.7|10.0|5.9|17.7|16.4|6.9|6.2|23.4|6.3|7.1|6.6||||||||||
Week 50 2019 YTD|154216.0|105015.0|9107.0|106602.0|484498.0|155755.0|124744.0|30078.0|61792.0|147167.0|139818.0|250945.0|128961.0|61325.0|127192.0|442069.0|39023.0|760802.0|51787.0|58962.0|3439858.0|94970.0|2467865.0|2562835.0|6002693.0||||||||||
Week 50 2018 YTD|141723.0|100379.0|11295.0|106714.0|490443.0|151032.0|139121.0|26774.0|60296.0|147146.0|135785.0|241412.0|122809.0|64928.0|133528.0|448956.0|38030.0|804590.0|47492.0|60750.0|3473203.0|110228.0|2668922.0|2779150.0|6252353.0||||||||||
Week 50 YTD pct-change|8.8|4.6|19.4|0.1|1.2|3.1|10.3|12.3|2.5|0.0|3.0|3.9|5.0|5.5|4.7|1.5|2.6|5.4|9.0|2.9|1.0|13.8|7.5|7.8|4.0||||||||||
Week 49 2019|3201.0|1981.0|170.0|1956.0|10087.0|3430.0|2532.0|531.0|1179.0|3315.0|3233.0|5420.0|2664.0|1174.0|2402.0|9179.0|771.0|13535.0|983.0|1642.0|69385.0|2979.0|48723.0|51702.0|121087.0||||||||||
Week 49 2018|2522.0|2146.0|226.0|2109.0|10219.0|3572.0|2746.0|596.0|1106.0|2934.0|2984.0|4102.0|2447.0|1316.0|3139.0|9752.0|691.0|16558.0|1217.0|1049.0|71431.0|3491.0|55038.0|58529.0|129960.0||||||||||
Week 49 pct-change|26.9|7.7|24.8|7.3|1.3|4.0|7.8|10.9|6.6|13.0|8.3|32.1|8.9|10.8|23.5|5.9|11.6|18.3|19.2|56.5|2.9|14.7|11.5|11.7|6.8||||||||||
Week 49 2019 QTD|30555.0|20503.0|1826.0|21890.0|96023.0|30851.0|21327.0|6148.0|11479.0|28960.0|27819.0|54103.0|25215.0|11152.0|24357.0|86377.0|8385.0|138332.0|9796.0|11737.0|666835.0|18324.0|508912.0|527236.0|1194071.0||||||||||
Week 49 2018 QTD|29607.0|21097.0|2384.0|21105.0|94453.0|32358.0|26179.0|6005.0|11496.0|29944.0|28354.0|49357.0|24794.0|13372.0|29109.0|96206.0|7904.0|167214.0|8405.0|10962.0|710305.0|24524.0|543974.0|568498.0|1278803.0||||||||||
Week 49 QTD pct-change|3.2|2.8|23.4|3.7|1.7|4.7|18.5|2.4|0.1|3.3|1.9|9.6|1.7|16.6|16.3|10.2|6.1|17.3|16.5|7.1|6.1|25.3|6.4|7.3|6.6||||||||||
Week 49 2019 YTD|151020.0|102965.0|8874.0|104789.0|475227.0|152487.0|122053.0|29410.0|60810.0|144127.0|136913.0|246001.0|126550.0|59991.0|124664.0|432460.0|38149.0|746569.0|50435.0|57940.0|3371434.0|91920.0|2415063.0|2506983.0|5878417.0||||||||||
Week 49 2018 YTD|139004.0|98393.0|10979.0|104478.0|481062.0|147081.0|136402.0|26198.0|59183.0|144192.0|132810.0|237226.0|120363.0|63488.0|130763.0|438507.0|37191.0|786476.0|46319.0|59771.0|3399886.0|106833.0|2613403.0|2720236.0|6120122.0||||||||||
Week 49 YTD pct-change|8.6|4.6|19.2|0.3|1.2|3.7|10.5|12.3|2.7|0.0|3.1|3.7|5.1|5.5|4.7|1.4|2.6|5.1|8.9|3.1|0.8|14.0|7.6|7.8|3.9||||||||||
Week 48 2019|2383.0|2040.0|206.0|2101.0|8398.0|2839.0|2159.0|509.0|934.0|2915.0|2635.0|3712.0|1828.0|790.0|1994.0|7727.0|843.0|10742.0|1163.0|885.0|56803.0|1854.0|45075.0|46929.0|103732.0||||||||||
Week 48 2018|3026.0|1996.0|197.0|2044.0|9846.0|3152.0|2647.0|693.0|1064.0|3317.0|2726.0|5211.0|2175.0|1324.0|2988.0|9493.0|861.0|17397.0|1183.0|746.0|72086.0|3225.0|53510.0|56735.0|128821.0||||||||||
Week 48 pct-change|21.2|2.2|4.6|2.8|14.7|9.9|18.4|26.6|12.2|12.1|3.3|28.8|16.0|40.3|33.3|18.6|2.1|38.3|1.7|18.6|21.2|42.5|15.8|17.3|19.5||||||||||
Week 48 2019 QTD|27354.0|18522.0|1656.0|19934.0|85936.0|27421.0|18795.0|5617.0|10300.0|25645.0|24586.0|48683.0|22551.0|9978.0|21955.0|77198.0|7614.0|124797.0|8813.0|10095.0|597450.0|15345.0|460189.0|475534.0|1072984.0||||||||||
