|Grain|Grain Mill Products|Farm Products (excl. Grain)|Food Products|Chemicals|Petroleum & Petroleum Products|Primary Metal Products|Primary Forest Products|Lumber & Wood Products|Pulp & Paper Products|Non-Metallic Minerals (incl. Phosphates)|Crushed Stone, Sand & Gravel|Stone, Clay & Glass Products|Iron & Steel Scrap|Waste & Nonferrous Scrap|Motor Vehicles and Parts|Metallic Ores|Coal|Coke|All Other Carloads|Total Carloads|Trailers|Containers|Total Intermodal|Total Traffic|Non‐Metallic Minerals (incl. Phosphates)|Primary Forest Products*|Farm Products, Ex. Grain|Food & Kindred Products|Petroleum Products|Metals & Products|Pulp, Paper & Allied Products|Phosphate (Phospate Rock)|Automotive (Motor Vehicles & Equip.)|Military, Machinery & Transportation Equipment
Week 19 2018 QTD|17842.0|11653.0|1268.0|13475.0|61461.0|16346.0|16330.0|2671.0|7912.0|17023.0|16700.0|32731.0|15045.0|8102.0|14990.0|56541.0|4474.0|96844.0|5689.0|7898.0|424995.0|12261.0|320138.0|332399.0|757394.0||||||||||
Week 19 2017 QTD|15979.0|12096.0|1260.0|13093.0|66590.0|16323.0|15579.0|2893.0|7698.0|15978.0|21870.0|31186.0|14716.0|7910.0|16577.0|53114.0|4533.0|86679.0|5778.0|9078.0|418930.0|11487.0|312149.0|323636.0|742566.0||||||||||
Week 19 QTD pct-change|11.7|3.7|0.6|2.9|7.7|0.1|4.8|7.7|2.8|6.5|23.6|5.0|2.2|2.4|9.6|6.5|1.3|11.7|1.5|13.0|1.4|6.7|2.6|2.7|2.0||||||||||
Week 19 2018 YTD|52878.0|37455.0|4401.0|40671.0|189906.0|54787.0|51768.0|9309.0|22413.0|53670.0|53123.0|84626.0|42926.0|23787.0|45563.0|168952.0|12696.0|289824.0|18272.0|23954.0|1280981.0|40161.0|982946.0|1023107.0|2304088.0||||||||||
Week 19 2017 YTD|55589.0|39347.0|4241.0|40196.0|207885.0|56131.0|51452.0|9748.0|22356.0|52371.0|68616.0|86225.0|42835.0|26376.0|51495.0|172690.0|14662.0|279195.0|20453.0|26483.0|1328332.0|37442.0|974035.0|1011477.0|2339809.0||||||||||
Week 19 YTD pct-change|4.9|4.8|3.8|1.2|8.6|2.4|0.6|4.5|0.3|2.5|22.6|1.9|0.2|9.8|11.5|2.2|13.4|3.8|10.7|9.5|3.6|7.3|0.9|1.1|1.5||||||||||
Week 18 2018|2873.0|1950.0|215.0|2370.0|10392.0|2531.0|2794.0|544.0|1376.0|2976.0|2912.0|5156.0|2699.0|1288.0|2524.0|9355.0|718.0|14737.0|1005.0|951.0|69366.0|2050.0|52913.0|54963.0|124329.0||||||||||
Week 18 2017|2541.0|1901.0|176.0|2062.0|10982.0|2535.0|2246.0|451.0|1224.0|2560.0|3722.0|5182.0|2399.0|1218.0|2732.0|8536.0|925.0|15494.0|1123.0|1508.0|69517.0|2004.0|51170.0|53174.0|122691.0||||||||||
Week 18 pct-change|13.1|2.6|22.2|14.9|5.4|0.2|24.4|20.6|12.4|16.3|21.8|0.5|12.5|5.7|7.6|9.6|22.4|4.9|10.5|36.9|0.2|2.3|3.4|3.4|1.3||||||||||
Week 18 2018 QTD|15014.0|9759.0|1045.0|11271.0|50804.0|13336.0|13658.0|2180.0|6581.0|14363.0|14066.0|26887.0|12364.0|6728.0|12573.0|47563.0|3687.0|78965.0|4836.0|6658.0|352338.0|10225.0|265689.0|275914.0|628252.0||||||||||
Week 18 2017 QTD|13406.0|10139.0|1028.0|10678.0|54730.0|13857.0|13206.0|2490.0|6359.0|13202.0|18058.0|25951.0|12217.0|6574.0|13594.0|43384.0|3645.0|72722.0|4773.0|7615.0|347628.0|9589.0|258728.0|268317.0|615945.0||||||||||
Week 18 QTD pct-change|12.0|3.7|1.7|5.6|7.2|3.8|3.4|12.4|3.5|8.8|22.1|3.6|1.2|2.3|7.5|9.6|1.2|8.6|1.3|12.6|1.4|6.6|2.7|2.8|2.0||||||||||
Week 18 2018 YTD|50050.0|35561.0|4178.0|38467.0|179249.0|51777.0|49096.0|8818.0|21082.0|51010.0|50489.0|78782.0|40245.0|22413.0|43146.0|159974.0|11909.0|271945.0|17419.0|22714.0|1208324.0|38125.0|928497.0|966622.0|2174946.0||||||||||
Week 18 2017 YTD|53016.0|37390.0|4009.0|37781.0|196025.0|53665.0|49079.0|9345.0|21017.0|49595.0|64804.0|80990.0|40336.0|25040.0|48512.0|162960.0|13774.0|265238.0|19448.0|25020.0|1257030.0|35544.0|920614.0|956158.0|2213188.0||||||||||
Week 18 YTD pct-change|5.6|4.9|4.2|1.8|8.6|3.5|0.0|5.6|0.3|2.9|22.1|2.7|0.2|10.5|11.1|1.8|13.5|2.5|10.4|9.2|3.9|7.3|0.9|1.1|1.7||||||||||
Week 17 2018|3243.0|1920.0|207.0|2324.0|9892.0|2896.0|2945.0|498.0|1389.0|2706.0|2829.0|5614.0|2715.0|1395.0|2459.0|8722.0|775.0|16949.0|929.0|1629.0|72036.0|2014.0|54336.0|56350.0|128386.0||||||||||
Week 17 2017|2370.0|2066.0|212.0|2076.0|10936.0|2378.0|2836.0|467.0|1289.0|2606.0|3533.0|5269.0|2491.0|1352.0|2419.0|8565.0|799.0|14673.0|814.0|1589.0|68740.0|1879.0|52387.0|54266.0|123006.0||||||||||
